품종,지역,측정 날짜,평균 당도,씨앗,산도,당산비,과일 갯수,평균 너비,장폭비,무게,평균 무게,색상,질감,껍질 두께,평균 씨앗 수,내부색상,내부색상,,과즙 무게,과즙 비율,평균길이,길이,너비,줄리안 날짜,대목,수령,당도1,당도2,산도1,산도2,평균 산도 측정
China S-2,Riverside,2008-10-20,9.6,,1.503,6.419,10,6.99,0.9,1432.1,143.21,3,4,53,3.4,ORANGE,3,,550.1,38.41,6.27,N/A,N/A,294,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Riverside,2007-10-22,10,,1.18,8.48,10,6.04,0.91,1007.8,100.78,5,2.5,43,0.8,BRT. ORANGE,2,,501.3,49.74,5.5,N/A,N/A,295,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Riverside,2007-10-22,9.8,,1.32,7.43,10,6.14,0.91,1017.5,101.75,5.5,2.5,43,2.2,BRT. ORANGE,2,,411.7,40.46,5.57,N/A,N/A,295,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Riverside,2006-10-23,9.4,,1,9.44,10,6.4,0.8,1087.3,108.73,4.5,3,38,0.4,BRT. ORANGE,2,,491,45.16,5.12,N/A,N/A,296,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Riverside,2006-10-23,8.5,,1.36,6.27,10,7.01,0.81,1424.6,142.46,3.5,6,52,1.4,BRT. ORANGE,2,,593.7,41.67,5.71,N/A,N/A,296,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Riverside,2005-10-24,9.5,,0.91,10.44,10,7.36,0.81,1590.1,159.01,5,4,43,0,BRT. ORANGE,2,,625.9,39.36,5.99,N/A,N/A,297,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Riverside,2005-10-24,9.9,,1.19,8.32,10,7,0.84,1380.7,138.07,4,4,47,1.2,BRT. ORANGE,2,,601.7,43.58,5.87,N/A,N/A,297,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Riverside,2004-10-25,8.5,,1.11,7.69,10,7.88,0.93,2008.5,200.85,4.5,4,64,0.3,BRT. ORANGE,2,,691.3,34.42,7.34,N/A,N/A,299,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Riverside,2004-10-25,8.4,,0.86,9.76,10,7.78,0.97,1875.1,187.51,4.5,4,61,1.2,BRT. ORANGE,2,,692.4,36.93,7.52,N/A,N/A,299,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Lindcove,2007-10-29,10.6,,1.18,9,10,6.56,0.89,1205.5,120.55,6,3.5,33,2.2,BRT. ORANGE,2,,494.2,41,5.82,N/A,N/A,302,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Lindcove,2007-10-29,9.5,,1.08,8.88,10,6.42,0.97,1252.2,125.22,5.5,4,35,1.8,BRT. ORANGE,2,,522,41.69,6.2,N/A,N/A,302,N/A,N/A,N/A,N/A,N/A,N/A,N/A
